SL. No.,,,Complaint Description,,,,Category,CategoryType,Priority,,,,,,
2094,,,Overflow from the overhead tank ,,,,Water and Plumbing Work,Over Flow From Over Head Tank,high,,,,,,
2095,,,JJSN hostel building ground floor room no 3,,,,Electrical,Celing fan-Not working,low,,,,,,
2096,,,JJSN hostel building 3rd floor room no 29 ceiling fan not working,,,,Electrical,Celing fan-Not working,low,,,,,,
2097,,,JJSN dining hall window glass to be replaced.,,,,Woodwork,Replacement of broken glass,low,,,,,,
2098,,,"JJSN hostel building  first floor  room no: 9,11,12,14,15",,,,Civil,Misc. requests,low,,,,,,
2099,,,"JJSN hostel building second floor room no: 18,21,23",,,,Civil,Miscellaneous Work,low,,,,,,
2100,,,Main gate is damaged.,,,,Steel Works,MS Gate - Repair,high,,,,,,
2101,,,Water seepage from bed room wall,,,,Civil,Bedroom-2 brick wall repair,high,,,,,,
2102,,,Window damage,,,,Woodwork,Repairs to Wooden window shutters,high,,,,,,
2103,,,It is giving a stinking smell and continuous water dripping is happening. It's a chaotic condition as the water is very unhygienic. Urgent solution to this is expected.,,,,Housekeeping,Back Drain Jam,high,,,,,,
2104,,,Door has been totally damage due to termite.Need door replacement urgent,,,,Woodwork,Bedroom-1 door frame repair,high,,,,,,
2105,,,Water leakage from input line to wash basin of bathroom ,,,,Water and Plumbing Work,Pipe and fittings  leakage In side the house (Repair),low,,,,,,
2106,,,Hinge repair ,,,,Civil,Toilet-2 door hinge repair,low,,,,,,
2107,,,Hinge repair ,,,,Civil,Bathroom door hinge repair,low,,,,,,
2108,,,RC-4 reservior tabk cover replacement,,,,Civil,Miscellaneous Work,high,,,,,,
2109,,,Tree removal from RC-4 tank,,,,Civil,Removing tree growth from roof / wall / pipejoint,high,,,,,,
2110,,,Water leakage from flash of toilet. Continuous leakage. Pl repair.,,,,Water and Plumbing Work,Pipe and fittings  leakage In side the house (Repair),low,,,,,,
2111,,,Drawing room socket broken,,,,Electrical,Socket-Socket broken,high,,,,,,
2112,,,First floor stair case light fuse,,,,Electrical,Stair case light-Lamp fuse,high,,,,,,
2113,,,"Water flow from supply pipe,when the supply water comes due to pipe leakage",,,,Water and Plumbing Work,Pipe Leakage /Burst outside the house,low,,,,,,
2114,,,In toilet flash pipe are broken so when flash water are leakage,,,,Civil,Miscellaneous Work,high,,,,,,
2115,,,Dining window has fallen please take necessary action ,,,,Civil,Dining Room window frame repair,high,,,,,,
2116,,,Latch repair ,,,,Woodwork,Bathroom door shutter repair,low,,,,,,
2117,,,Kitchen wash basin water tap not working properly . Immediate change the Tap. ,,,,Water and Plumbing Work,Improper function of Water Tap,high,,,,,,
2118,,,Repairs to boundary wall and white wash of walls,,,,Civil,Boulder Wall - Repair,low,,,,,,
2119,,,Water waisted due to tap broken ,,,,Water and Plumbing Work,Improper function of Water Tap,low,,,,,,
2120,,,Wash basin drain floor floor area damaged. To be repaired with plaster,,,,Civil,Miscellaneous Work,low,,,,,,
2121,,,Main MCB automatic trip when ON the fan switch and No power in house. Kindly address this issue.,,,,Electrical,No power-Single house,high,,,,,,
2122,,,Door not open properly ,,,,Woodwork,Toilet-1 door frame repair,high,,,,,,
2123,,,Replacement of  EWC to OWC ,,,,Civil,Replacement of OWC to EWC or vise versa,high,,,,,,
2124,,,Bedroom and M type 2nd door entrance damaged need to replace it.,,,,Woodwork,Bathroom door shutter repair,high,,,,,,
2125,,,Switch damage at drawing room ,,,,Electrical,Switch-Switch broken,high,,,,,,
2126,,,Water flow back to kitchen from sink outlet,,,,Civil,Catchpit Damage,high,,,,,,
2127,,,K2-3 to K2-1,,,,Housekeeping,Front Drain Jam,low,,,,,,
2128,,,Back drain jam,,,,Housekeeping,Back Drain Jam,high,,,,,,
2129,,,"Bathroom pipe badly jam, very differently during bathing.",,,,Housekeeping,Bathroom Jam,high,,,,,,
2130,,,New Allotment,,,,Civil,New Allotment,high,,,,,,
2131,,,New allotment,,,,Electrical,New Allotment,high,,,,,,
2132,,,Main door hinge problem,,,,Civil,Drawing Room door hinge repair,high,,,,,,
2133,,,Room no-14 Geyser hot  water not coming,,,,Electrical,Gyser-Not woking,low,,,,,,
2134,,,Dirty water overflowing from catchpit of building M 44. This issue permanently not being resolved. Last one year many times this issue was resolved. But again same problem happening.,,,,Housekeeping,Catchpit Jam,high,,,,,,
2135,,,Huge Number of giloy stems have fallen down from the tree so the area requires a cleanup,,,,Housekeeping,Bush Cutting Required,high,,,,,,
2136,,,Tree branches touching window & wall mouse & squirrel coming from window,,,,Housekeeping,Bush Cutting Required,high,,,,,,
2137,,,Flash damage,,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
2138,,,There has been a damage at the light holder in bathroom..it needs to be fixed,,,,Civil,Outhouse Toilet wall plaster,low,,,,,,
2139,,,There has been damage to wall near the light holder in the bathroom ,,,,Civil,Bathroom wall plaster,high,,,,,,
2140,,,Please come fast,,,,Electrical,No power-Single house,high,,,,,,
2141,,,Its urgent pls resolved this ASAP,,,,Housekeeping,Toilet Jam,low,,,,,,
2142,,,It's URGENT! ,,,,Civil,Repairs to wall seepage other than bathroom & latrine,high,,,,,,
2143,,,"No power in quarter P25/15 after 4 am today. Please attend the issue at 6 pm today on priority. 
Mo No. - 6260787523",,,,Electrical,No power-Single house,low,,,,,,
2144,,,MCB of Front Hall getting tripped while switching on the Fan,,,,Electrical,Switch-Loose connection,high,,,,,,
2145,,,Door jaam and kadi problem ,,,,Woodwork,Repairs to door frame,low,,,,,,
2146,,,PVC door clamp rusted and broken,,,,Woodwork,Bathroom door frame repair,low,,,,,,
2147,,,Jaam and kadi problem ,,,,Woodwork,Bathroom door shutter repair,low,,,,,,
2148,,,Back steel door rusted,,,,Steel Works,Repairs to back steel door,low,,,,,,
2149,,,Catchpit damage ,,,,Civil,Catchpit Damage,high,,,,,,
2150,,,ceiling broken,,,,Civil,Toilet-1 ceiling plaster,high,,,,,,
2151,,,3nos. Old heavy fans to be replaced out if which main hall fan is not working and MCB is getting tripped while switching on.,,,,Electrical,Celing fan-Not working,high,,,,,,
2152,,,N154/2 Hudco Area telco,,,,Housekeeping,Catchpit Jam,low,,,,,,
2153,,,Water leakage from wash  basin,,,,Civil,Kitchen floor repair,high,,,,,,
2154,,,Front Room Celing fan not working. ,,,,Electrical,Celing fan-Not working,high,,,,,,
2155,,,Inside pathway,,,,Civil,Repairs to pathway inside bungalows,high,,,,,,
2156,,,"Water tank not getting filled during supply, Rising pipeline chockgae.",,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
2157,,,All 3 Nos of bathroom door hinge need to be replaced,,,,Civil,Bathroom door hinge repair,high,,,,,,
2158,,,Over head tank / pipe leakage,,,,Water and Plumbing Work,Over Flow From Over Head Tank,high,,,,,,
2159,,,Leakge of Roof,,,,Civil,Repairs to roof leakage,high,,,,,,
2160,,,The tin piece is added in the in the downward side of front main door so we need repaired as that door because of safety point of view any kind of poisonous insects can enter inside house easily and rats are also able to enter at home easily,,,,Woodwork,Repairs to Main Entrance door,high,,,,,,
2161,,,Pipe leakage outside P23-03,,,,Water and Plumbing Work,Pipe Leakage /Burst outside the house,low,,,,,,
2162,,,Seepage at dining room,,,,Civil,Dining Room wall plaster,high,,,,,,
2163,,,"K-9 section, grooming shed wall security light not function, room no-10 back side wall tube light not work.",,,,Electrical,Garden light-Not working,low,,,,,,
2164,,,Back yard drain system excess damage ,,,,Civil,Back Drain Damage,high,,,,,,
2165,,,Quarter front side drainage jam,,,,Housekeeping,Front Drain Jam,low,,,,,,
2166,,,Wash bashin tap at Dining hall leakage,,,,Water and Plumbing Work,Improper function of Water Tap,low,,,,,,
2167,,,water tap broken,,,,Water and Plumbing Work,Improper function of Water Tap,high,,,,,,
2168,,,Window jam during opening it is very difficult to open it ,,,,Woodwork,Easing window,high,,,,,,
2169,,,"Switch not working as per above details.

Department 
ERC ",,,,Electrical,Switch-Not working,high,,,,,,
2170,,,Door not closed properly ,,,,Woodwork,Door closer - Repair,high,,,,,,
2171,,,Socket not working and secand room AC socket no power,,,,Electrical,Socket-Not working,low,,,,,,
2172,,,2nd bedroom light not working,,,,Electrical,Light-not working,high,,,,,,
2173,,,Once again peepal tree coming out of kitchen drain pipejoint after removal 1 year back leading to drain choke. Scaffolding required for cutting it and bleaching to be done for permanent removal after opening the pipe.,,,,Civil,Removing tree growth from roof / wall / pipejoint,high,,,,,,
2174,,,Glass fixing ,,,,Civil,Bedroom-2 window glass pane fixing,high,,,,,,
2175,,,Continuous leakage of water from wash basin tap ,,,,Water and Plumbing Work,Improper function of Water Tap,high,,,,,,
2176,,,Wash basin pipe damage..need to change ,,,,Water and Plumbing Work,Wash Basin to be checked,high,,,,,,
2177,,,Street light foundation damage,,,,Civil,Miscellaneous Work,high,,,,,,
2178,,,Floor damage,,,,Civil,Repairs to floor other than courtyard floor,low,,,,,,
2179,,,Cracked floor,,,,Civil,Repairs to courtyard floor - Full,low,,,,,,
2180,,,Bathroom floor  repair,,,,Civil,Bathroom floor repair,high,,,,,,
2181,,,Bathroom towel rod damage ,,,,Civil,Bathroom hinge cleat repair,high,,,,,,
2182,,,Bathroom celiing plaster,,,,Civil,Bathroom ceiling plaster,high,,,,,,
2183,,,Bathroom brick wall repair,,,,Civil,Bathroom brick wall repair,high,,,,,,
2184,,,Daning floor repair ,,,,Civil,Miscellaneous Work,high,,,,,,
2185,,,Kitchen ceiling plaster ,,,,Civil,Kitchen ceiling plaster,high,,,,,,
2186,,,Kitchen slab repair ,,,,Civil,Miscellaneous Work,high,,,,,,
2187,,,The water used to stop coming in the morning and evening.  And sometimes there is no time pattern of stoppage of water,,,,Water and Plumbing Work,Drinking Water Scarcity,low,,,,,,
2188,,,The door cannot be locked . Neither it can be closed  and the door is also broken ,,,,Woodwork,Bathroom door frame repair,high,,,,,,
2189,,,OHC 2 NO Fan not Working,,,,Electrical,Celing fan-Not working,high,,,,,,
2190,,,The door is not fixed with the wall and its handle is also got detached from the door ,,,,Woodwork,Bedroom-2 door frame repair,high,,,,,,
2191,,,Water is coming out ,,,,Housekeeping,Toilet Jam,low,,,,,,
2192,,,"Water is coming from outside
",,,,Housekeeping,Back Drain Jam,low,,,,,,
2193,,,HAPPY10,,,,Electrical,No power-Single house,high,,,,,,
2194,,,Water leakage from the bedroom roof.. ,,,,Civil,Repairs to roof leakage,high,,,,,,
2195,,,Water leakage from bathroom tap,,,,Water and Plumbing Work,Pipe and fittings  leakage In side the house (Repair),high,,,,,,
2196,,,Water above pan,,,,Housekeeping,Toilet Jam,high,,,,,,
2197,,,Telco house kitchen area roof leakage ,,,,Civil,Repairs to roof leakage,low,,,,,,
2198,,,Rainwater enters the basement and leads to water logging . It gets very dirty. Because of the dirt insects and mosquitos have increased.,,,,Civil,Repairs to staircase,low,,,,,,
2199,,,This started suddenly till now the water is flowing after the rain has stopped. ,,,,Civil,Repairs to wall seepage other than bathroom & latrine,high,,,,,,
2200,,,Fan Not Working ,,,,Electrical,Celing fan-Not working,high,,,,,,
2201,,,Main hole jam at roadno 8&9 K2/11 water overflow from drainage,,,,Housekeeping,Man Hole Jam,high,,,,,,
2202,,,"Over head water tank cleaned today, no water in tank. Additional water required.",,,,Water and Plumbing Work,Additional Water request,high,,,,,,
2203,,,Bedroom -2 painting,,,,Civil,Bedroom-2 Touch up painting,high,,,,,,
2204,,,"Water is getting logged from the outlet pipe of attached bathroom.
",,,,Water and Plumbing Work,Improper function of  Wash Basin/Urinal Waste pipe,low,,,,,,
2205,,,Water gets logged in kitchen basin,,,,Water and Plumbing Work,Cleaning of all types of pipe chokages,low,,,,,,
2206,,,Telco House Room No 14 back side wall street lights Not working,,,,Electrical,Street light-Not working,low,,,,,,
2207,,,Door shutter of room 1 loosened from Hing and touching floor. Unable to close the door,,,,Woodwork,Repairs to door shutters other than bath & lat.,high,,,,,,
2208,,,Bathroom flush broken,,,,Civil,Miscellaneous Work,low,,,,,,
2209,,,Fixing of purchased interlock on main door for security reason.,,,,Woodwork,Locks of doors - Repair,high,,,,,,
2210,,,Bathroom flush broken from long time..... repair urgently,,,,Civil,Miscellaneous Work,high,,,,,,
2211,,,Celing roof plaster breakages,,,,Civil,Bathroom ceiling plaster,high,,,,,,
2212,,,Water dropping from roof,,,,Civil,Dining Room ceiling plaster,high,,,,,,
2213,,,Water coming outside from catchpit,,,,Housekeeping,Catchpit Jam,high,,,,,,
2214,,,Kitchen outlet catchpit jamed,,,,Civil,Catchpit Damage,high,,,,,,
2215,,, Toilet jam ,,,,Housekeeping,Toilet Jam,low,,,,,,
2216,,,Kitchen switch getting heated after switching on for some time ,,,,Electrical,Switch-Loose connection,low,,,,,,
2217,,,Termite coming into house during rain,,,,Housekeeping,Antitermite Treatment,high,,,,,,
2218,,,Exhaust fan not installed in kitchen,,,,Electrical,Exhaust fan-Not working,low,,,,,,
2219,,,Jab bhi barish hoti hia tooh chajja seepage krne lgta hai.,,,,Civil,Chajja - Repair,high,,,,,,
2220,,,Kitchen window corner ,,,,Civil,Miscellaneous Work,high,,,,,,
2221,,,Window frame repair ,,,,Woodwork,Bedroom-2 window frame repair,low,,,,,,
2222,,,Spark from electric board and short circuit ,,,,Electrical,Electric Sparking,high,,,,,,
2223,,,Leakage,,,,Civil,Repairs to kitchen sink,low,,,,,,
2224,,,The call bell switch is damaged and not working.,,,,Electrical,Power point-Not working,high,,,,,,
2225,,,Seepage on wall of living room,,,,Civil,Repairs to wall seepage other than bathroom & latrine,high,,,,,,
2226,,,Water leaking from the cistern and flushing pipe coming out from the insert in western toilet.,,,,Water and Plumbing Work,Improper function of Cistern (Repair/Replace),high,,,,,,
2227,,,The latrine seat cover is broken from the hinges ,,,,Water and Plumbing Work,E.W.C. seat cover to be replaced,high,,,,,,
2228,,,Fan running slow,,,,Electrical,Celing fan-Slow running,high,,,,,,
2229,,,Uneven floor of washroom,,,,Civil,Bathroom floor repair,low,,,,,,
2230,,,One widow glass has fallen please put it as soon as possible and please put the paste around all the glasses of the bedroom windows. ,,,,Steel Works,Repairs to steel window,low,,,,,,
2231,,,Water splashing from overhead tank in morning filling time..float valve required to check,,,,Water and Plumbing Work,Over Flow From Over Head Tank,low,,,,,,
2232,,,2nd bedroom door broken,,,,Woodwork,Bedroom-2 door easing,high,,,,,,
2233,,,Power off. Unable to operate AC,,,,Electrical,AC power point-AC Switch burnt,high,,,,,,
2234,,,Every floor below the hinse area has a big hole where insects are coming. ,,,,Civil,Dining Room floor repair,high,,,,,,
2235,,,"Hall,2,,steet_light,not,working, one piece",,,,Electrical,Street light-Not working,high,,,,,,
2236,,,u4/1 please fill the water tank urgently.,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
2237,,,Drawing room switch broken,,,,Electrical,Switch-Switch broken,high,,,,,,
2238,,,Supply problem with a week,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
2239,,,Wet leaves removal from K2- 15 CROSS ROAD No-16,,,,Housekeeping,Garbage Removal,high,,,,,,
2240,,,Kitchen tap water flow is not ok and water is not stopping after fully closed. ,,,,Water and Plumbing Work,Improper function of Water Tap,low,,,,,,
2241,,,Kitchen tap water flow is not ok and water is not stopping after fully closed. ,,,,Water and Plumbing Work,Improper function of Water Tap,high,,,,,,
2242,,,Kitchen slab plaster diamage ,,,,Civil,Kitchen ceiling plaster,high,,,,,,
2243,,,R o not coming drinking water ,,,,Water and Plumbing Work,Drinking Water Scarcity,low,,,,,,
2244,,,Toilet door not closed.,,,,Woodwork,Bathroom door hinge repair,low,,,,,,
2245,,,Street light adjacent to park at N type 306 quarter number not working.,,,,Electrical,Street light-Not working,low,,,,,,
2246,,,Rats have deposited plastic and jam has occurred ,,,,Housekeeping,Toilet Jam,high,,,,,,
2247,,,Badroom door completely damaged ,,,,Woodwork,Bathroom door shutter repair,low,,,,,,
2248,,,Lock damaged ,,,,Woodwork,Bathroom bow handle repair,low,,,,,,
2249,,,Front and Back drain cleaning ,,,,Housekeeping,Back Drain Jam,high,,,,,,
2250,,,Front drain cleaning ,,,,Housekeeping,Front Drain Jam,low,,,,,,
2251,,,Dining space Back door broken ,,,,Woodwork,Attending Safety & Security related jobs,low,,,,,,
2252,,,Whole staircase is damaged by rat. Need to repair. ,,,,Civil,Repairs to staircase,high,,,,,,
2253,,,First room window is  not closing properly ,,,,Woodwork,Repairs to Wooden window shutters,high,,,,,,
2254,,,door ka in out lock replace,,,,Civil,Bathroom door easing,high,,,,,,
2255,,,window ka lock change,,,,Civil,Kitchen window frame repair,high,,,,,,
2256,,,basin ka wall  broken ,,,,Civil,Kitchen wall plaster,high,,,,,,
2257,,,Damage,,,,Civil,Kitchen window frame repair,low,,,,,,
2258,,,Look very dirty,,,,Civil,Kitchen wall plaster,high,,,,,,
2259,,,Damage,,,,Steel Works,Stay for steel window - Repair,low,,,,,,
2260,,,Did animal removal,,,,Housekeeping,Dead Animal Removal,high,,,,,,
2261,,,Bathroom floor damage,,,,Civil,Bathroom floor repair,high,,,,,,
2262,,,Switch not working properly and the kitchen switch and socket not working properly ,,,,Electrical,Switch-Not working,high,,,,,,
2263,,,Kitchan mixer not workong,,,,Electrical,Socket-Not working,low,,,,,,
2264,,,High mast light not working in track area,,,,Electrical,Light-not working,high,,,,,,
2265,,,Street light of test track near hospital down not working ,,,,Electrical,Street light-Not working,high,,,,,,
2266,,,Bathroom light not working ,,,,Electrical,Light-not working,low,,,,,,
2267,,,Water not come in bathroom ,,,,Water and Plumbing Work,Area Water Contamination,low,,,,,,
2268,,,"Street light blocking sight, additional 1 no's light required at loading point",,,,Electrical,Street light-block light not working,low,,,,,,
2269,,,08 no's Street light not working near shop area and cover open,,,,Electrical,Street light-Not working,high,,,,,,
2270,,,"Back side home light switch damage,
Call well not working,
main gate top light not working switch broken 
",,,,Electrical,Holder-angular holder not working,high,,,,,,
2271,,,Doors and windows not getting closed and opened and latch not being applied ,,,,Woodwork,Drawing Room window shutter repair,low,,,,,,
2272,,,Root cause of jam not known so new pipeline need to put to eliminate jam,,,,Housekeeping,Catchpit Jam,high,,,,,,
2273,,,Snake seen in compound please spray appropriate chemical for snakes and other pastes,,,,Housekeeping,Mosquito Related Complaint ,high,,,,,,
2274,,,Wall leakage due to wall crack,,,,Civil,Bedroom-1 wall plaster,high,,,,,,
2275,,,"Dog is dead. 
Kindly remove it. ",,,,Housekeeping,Dead Animal Removal,high,,,,,,
2276,,,Magnet of almirah not working ,,,,Woodwork,Locks of almirah - Repair,high,,,,,,
2277,,,Kitchen wiring Not working ,,,,Electrical,Wiring-Hanging,high,,,,,,
2278,,,"New Allotment, Kindly collect key from MP Singh (Town Admin Office)",,,,Electrical,New Allotment,low,,,,,,
2279,,,Broken glass of dining holl,,,,Woodwork,Broken glass panes,low,,,,,,
2280,,,"IWC Pan change, for new allotment, kindly collect key from MP Singh (Town Admin Office)",,,,Civil,Replacement of OWC to EWC or vise versa,low,,,,,,
2281,,,"New Allotment, Kindly collect key from MP Singh (Town Admin Office)",,,,Civil,New Allotment,low,,,,,,
2282,,,"New Allotment, Kindly collect key from MP Singh (Town Admin Office)",,,,Water and Plumbing Work,New Allotment,low,,,,,,
2283,,,"New Allotment, Kindly collect key from MP Singh (Town Admin Office)",,,,Electrical,New Allotment,low,,,,,,
2284,,,"K-9, section Room no-9 front side drain demage room no-9 back side calary floor demage.",,,,Civil,Back Drain Damage,low,,,,,,
2285,,,Dining room  window damage ,,,,Woodwork,Dining Room window frame repair,low,,,,,,
2286,,,Exessive water wastage due to overfow and pipe crack. Also leading to wall dampening,,,,Water and Plumbing Work,Over Flow From Over Head Tank,high,,,,,,
2287,,,Bathroom door frame repair,,,,Woodwork,Bathroom door frame repair,low,,,,,,
2288,,,Weed growth in drain,,,,Civil,Back Drain Damage,low,,,,,,
2289,,,"On flushing in the toilet, the entire dirty water is coming up in the commode.",,,,Housekeeping,Toilet Jam,low,,,,,,
2290,,,Drain dirty and weed growth,,,,Housekeeping,Back Drain Jam,low,,,,,,
2291,,,Mosquito repellent not sprayed for some time,,,,Housekeeping,Mosquito Related Complaint ,high,,,,,,
2292,,,Window shutter needs to be replaced in both bedrooms and hall ,,,,Civil,Aluminum window shutter- Repair,low,,,,,,
2293,,,In both bedrooms,,,,Civil,Bedroom-2 mosquito net fixing,low,,,,,,
2294,,,Today mo,,,,Water and Plumbing Work,Additional Water request,low,,,,,,
2295,,,P trap damage ,,,,Civil,Replacement of OWC pan naturally damaged,high,,,,,,
2296,,,JJSN  residence  water tank leakage at Terrace ,,,,Water and Plumbing Work,Other Misc. requests,low,,,,,,
2297,,,Store room White wash,,,,Civil,Store Room Touch up painting,low,,,,,,
2298,,,Attach bathroom outlet pipe jam,,,,Housekeeping,Bathroom Jam,high,,,,,,
2299,,,Kitchen out let jam,,,,Housekeeping,Kitchen outlet jam,high,,,,,,
2300,,,Jeevan Jyothi convent residence room no 4.  roof  leakage,,,,Civil,Repairs to roof leakage,low,,,,,,
2301,,,"Bathroom wall plaster peels out, damaged and water seepage.",,,,Civil,Bathroom wall plaster,low,,,,,,
2302,,,Toilet floor has broken ,,,,Civil,Bathroom floor repair,high,,,,,,
2303,,,Cistern joint leakage ,,,,Water and Plumbing Work,Improper function of Cistern (Repair/Replace),high,,,,,,
2304,,,JJSN school building near mummy table water pipe leakage from the wall.,,,,Water and Plumbing Work,Pipe and fittings  leakage In side the house (Repair),low,,,,,,
2305,,,Water seeping from roof due to tree ,,,,Civil,Removing tree growth from roof / wall / pipejoint,high,,,,,,
2306,,,Today no water supply,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
2307,,,Sepage of water ,,,,Civil,Repairs to roof leakage,high,,,,,,
2308,,,Water slow flow while water tank full,,,,Water and Plumbing Work,Cleaning of all types of pipe chokages,low,,,,,,
2309,,,Termite all around the room ,,,,Housekeeping,Antitermite Treatment,high,,,,,,
2310,,,Dining room white wash for chhath,,,,Civil,Dining Room Touch up painting,low,,,,,,
2311,,,JJSN multipurpose hall parapet wall plastering to be done.,,,,Civil,Repair to chajja,low,,,,,,
2312,,,Toilet flush water filling works very slowly. ,,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
2313,,,"Water tap in kitchen is not working. Water is not coming properly. 
",,,,Water and Plumbing Work,Improper function of Water Tap,high,,,,,,
2314,,,Bathroom jam water not  draining,,,,Housekeeping,Bathroom Jam,low,,,,,,
2315,,,"Front door is too tight to close, may be due to weather variations.",,,,Woodwork,Repairs to door frame,high,,,,,,
2316,,,Power not coming from house front socket,,,,Electrical,Socket-Not working,high,,,,,,
2317,,,Water is over and not a single drop left ,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
2318,,,Rear wall painting missing from the time of house allotment ,,,,Civil,Outhouse Touch up painting,low,,,,,,
2319,,,"Hall,2,mess, nopower_singlehousr, engineer,s, hall",,,,Electrical,No power-Single house,high,,,,,,
2320,,,....,,,,Water and Plumbing Work,Drinking Water Scarcity,high,,,,,,
2321,,,Front courtyard and backyard broken floor,,,,Civil,Repairs to floor other than courtyard floor,high,,,,,,
2322,,,"Already complained earlier about ceiling plaster falling, again it started falling in different place. Please arrange to repair, this may hurt to family member .",,,,Civil,Bedroom-2 ceiling plaster,high,,,,,,
2323,,,Back door fall on another side of door wall,,,,Civil,Repairs to gate pillar,high,,,,,,
2324,,,In front side of kichen ,,,,Civil,Repairs to roof leakage,high,,,,,,
2325,,,Front room light not working N143/16,,,,Electrical,Light-not working,high,,,,,,
2326,,,My boundary wall likely to fall ..,,,,Civil,Misc. requests,high,,,,,,
2327,,,Water is finished ,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
2328,,,It's bend and fall on another side wall of gate ..,,,,Civil,MS Gate - Repair,high,,,,,,
2329,,,Metrology room door loose ,,,,Steel Works,Repairs to gate.,low,,,,,,
2330,,,"Man Hole Jam near Community Center, Kindly contact the complainer - Devnath, Phone No - 7488032608",,,,Housekeeping,Man Hole Jam,low,,,,,,
2331,,,"Man Hole Jam near Bungalow No - 77, Kindly contact the complainer - Devnath, Phone No - 7488032608",,,,Housekeeping,Man Hole Jam,low,,,,,,
2332,,,Repair needed and painting required in kitchen. ,,,,Civil,Kitchen wall plaster,high,,,,,,
2333,,,"It is damaged and rusted , getting injured",,,,Woodwork,Toilet-1 bow handle repair,high,,,,,,
2334,,,Got injured,,,,Woodwork,Toilet-1 bow handle repair,high,,,,,,
2335,,,"Only 15% water in tank (U-4/6,U-4/4, U-4/2)",,,,Water and Plumbing Work,Area Drinking Water Scarcity,low,,,,,,
2336,,,"Kitchen Wash basin drain pipe block 

",,,,Civil,Repairs to chocked outlet pipe at Kitchen,low,,,,,,
2337,,,Bathroom wall plaster and paint ,,,,Civil,Bathroom wall plaster,low,,,,,,
2338,,,Drain cleaning in canteen area,,,,Housekeeping,Back Drain Jam,low,,,,,,
2339,,,Drain cleaning in canteen area,,,,Housekeeping,Back Drain Jam,low,,,,,,
2340,,,Bathroom door change,,,,Civil,Miscellaneous Work,high,,,,,,
2341,,,Back Drain jam ,,,,Housekeeping,Back Drain Jam,high,,,,,,
2342,,,Kitchen wash basin water tap leakage,,,,Water and Plumbing Work,Improper function of Water Tap,high,,,,,,
2343,,,Attach bathroom wash basin tap not working ,,,,Water and Plumbing Work,Improper function of Water Tap,high,,,,,,
2344,,,Attach bathroom wash basin outlet cover broken,,,,Water and Plumbing Work,Improper function of  Wash Basin/Urinal Waste pipe,high,,,,,,
2345,,,All window and door are antitermite,,,,Housekeeping,Antitermite Treatment,high,,,,,,
2346,,,Front drain is jam,,,,Housekeeping,Front Drain Jam,high,,,,,,
2347,,,Wash basin pipe leakage,,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
2348,,,Kitchen barber rake dimage.,,,,Civil,Miscellaneous Work,low,,,,,,
2349,,,Toilet wall painting ,,,,Civil,Outhouse Toilet ceiling plaster,low,,,,,,
2350,,,Bathroom ceiling leakage and dimage ,,,,Civil,Bathroom ceiling plaster,low,,,,,,
2351,,,Front and side nali back nali clean,,,,Housekeeping,Back Drain Jam,high,,,,,,
2352,,,No water entire flat,,,,Water and Plumbing Work,Area Drinking Water Scarcity,high,,,,,,
2353,,,New Allotment,,,,Civil,New Allotment,high,,,,,,
2354,,,New Allotment,,,,Civil,New Allotment,high,,,,,,
2355,,,New Allotment,,,,Electrical,New Allotment,high,,,,,,
2356,,,Window glass broken for room 3 near car garage. Request to repair the same at the earliest possible time.,,,,Civil,Broken glass panes – Repair/Refix/Replacement,low,,,,,,
2357,,,Switch not functioning,,,,Electrical,Other Misc.Request - old cases,low,,,,,,
2358,,,Shower leakage,,,,Water and Plumbing Work,Improper function of Shower,low,,,,,,
2359,,,Wall seepage,,,,Civil,Repairs to wall seepage other than bathroom & latrine,low,,,,,,
2360,,,New Allotment,,,,Civil,New Allotment,high,,,,,,
2361,,,Kitchen wall crack,,,,Civil,Kitchen wall plaster,high,,,,,,
2362,,,JJSN school building 3rd floor 2 gyser  not working,,,,Electrical,Gyser-Not woking,low,,,,,,
2363,,,JJSN hostel building second floor gyser not working ,,,,Electrical,Gyser-Not woking,low,,,,,,
2364,,,Kitchen window frame crack,,,,Civil,Kitchen window frame repair,high,,,,,,
2365,,,"JJSN hostel building 3rd floor room no: 26,28,31",,,,Electrical,Power point-Not working,low,,,,,,
2366,,,Water not Available ,,,,Water and Plumbing Work,Additional Water request,low,,,,,,
2367,,,Drain damage ,,,,Civil,Back Drain Damage,high,,,,,,
2368,,,Basin pipe leakage,,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
2369,,,Pipeline leakage,,,,Water and Plumbing Work,Pipe Leakage /Burst outside the house,high,,,,,,
2370,,,Water tank empty. Water not supplied in 2nd half. Pls take action immediately,,,,Water and Plumbing Work,Drinking Water Scarcity,high,,,,,,
2371,,,Catchpit jam,,,,Housekeeping,Catchpit Jam,high,,,,,,
